;********************
;2013.03.13日按TT语料统计词频整理
;据ju、去qu、需xu 、略lve4、虐nve4
;与Cizu_60K.txt的主要区别，删除类似”数据统计、大力发展、代表大会”等词，词频采用TT统计的词频
;20130318“新浪、微博、新浪网、个大降频	;20130326更新词频;2013.03.28增3.6词组
;20130401增加网络词汇2500个;20130403更新词频;2013.04.27添加常用三字词删除低频字词，补齐天干地支
;20130520增四三字词删除低频字词	;20130604增歇后语;20130605重新统计词频	;20130622 人名放入add_Nmame.txt 20130706删低频两字词
教程	jiao4 cheng2	100000000
时候	shi2 hou4	100000000
火车	huo3 che1	100000000
招标	zhao1 biao1	100000000
福建	fu2 jian4	100000000
明星	ming2 xing1	100000000
福建省	fu2 jian4 sheng3	100000000
列车	lie4 che1	100000000
动态	dong4 tai4	100000000
言情	yan2 qing2	100000000
处理	chu3 li3	100000000
理工大学	li3 gong1 da4 xue2	100000000
安装	an1 zhuang1	100000000
广场	guang3 chang3	100000000
钢铁	gang1 tie3	100000000
孩子	hai2 zi3	100000000
钢材	gang1 cai2	100000000
喜欢	xi3 huan1	100000000
关注	guan1 zhu4	100000000
请问	qing3 wen4	100000000
专业的	zhuan1 ye4 de5	100000000
会员	hui4 yuan2	100000000
单机游戏	dan1 ji1 you2 xi4	100000000
排行	pai2 hang2	100000000
测试	ce4 shi4	100000000
数据	shu4 ju4	100000000
仪器	yi2 qi4	100000000
美女	mei3 nv3	100000000
工程师	gong1 cheng2 shi1	100000000
商机	shang1 ji1	100000000
专卖	zhuan1 mai4	100000000
化妆品	hua4 zhuang1 pin3	100000000
中学	zhong1 xue2	100000000
专卖店	zhuan1 mai4 dian4	100000000
大连	da4 lian2	100000000
情况	qing2 kuang4	100000000
地方	di4 fang1	100000000
交友	jiao1 you3	100000000
影视	ying3 shi4	100000000
欢迎	huan1 ying2	100000000
加工	jia1 gong1	100000000
长沙	chang2 sha1	100000000
拍拍	pai1 pai1	100000000
财富	cai2 fu4	100000000
家电	jia1 dian4	100000000
在哪	zai4 na3	100000000
质量	zhi4 liang4	100000000
